boundary_censoring,boundary_exact,boundary_interval_censored,boundary_monotonic,context_window_anchor_source,context_window_probe_anchor_value,dimension,documentation_status,documented_value,endpoint_id,finding,maximum_accepted_combined_target_tokens,maximum_accepted_estimated_input_tokens,maximum_accepted_input_tokens,maximum_accepted_requested_output_target,maximum_functionally_valid_combined_target_tokens,maximum_functionally_valid_input_tokens,maximum_realized_output_tokens,minimum_rejected_estimated_combined_target_tokens,minimum_rejected_estimated_input_tokens,minimum_rejected_requested_output_target,observed_value,requested_output_target,requested_output_target_unit
interval_censored,False,True,True,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,1048576,deepseek-v4-flash-0731,accepted_and_retrieval_valid_through_2722,,1049582,1048543,,,2722,,,1049591,,1048543,,
interval_censored,False,True,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,1048576,deepseek-v4-flash-0731,transport_accepted_but_retrieval_not_verified,1048523,1045462,1044427,,,,,1049624,1045528,,1048523,4096,tokens
,,,,,,output limit,,1048576,deepseek-v4-flash-0731,realized_generation_observed,,,,4096,,,10020,,,1048576,10020,,words
,,,,,,vision,,False,deepseek-v4-flash-0731,observed_rejected_or_unsupported,,,,,,,,,,,observed_rejected_or_unsupported,,
,,,,,,tool calling,,,deepseek-v4-flash-0731,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,structured output,,,deepseek-v4-flash-0731,observed_functional,,,,,,,,,,,observed_functional,,
right_censored,False,False,True,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,256000,gemma-4-31B-it,accepted_and_retrieval_valid_through_251873,,250000,251873,,,251873,,,,,251873,,
right_censored,False,False,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,256000,gemma-4-31B-it,accepted_and_retrieval_valid_through_130125,130296,128000,126200,,130125,126029,,,,,130296,4096,tokens
,,,,,,output limit,,8192,gemma-4-31B-it,realized_generation_observed,,,,16384,,,28773,,,,28773,,words
,,,,,,vision,,False,gemma-4-31B-it,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,tool calling,,,gemma-4-31B-it,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,structured output,,,gemma-4-31B-it,observed_functional,,,,,,,,,,,observed_functional,,
right_censored,False,False,True,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,262144,glm-5.2,accepted_and_retrieval_valid_through_182823,,262668,265333,,,182823,,,,,265333,,
right_censored,False,False,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,262144,glm-5.2,accepted_and_retrieval_valid_through_265289,265290,258572,261194,,265289,261193,,,,,265290,4096,tokens
,,,,,,output limit,,262144,glm-5.2,realized_generation_observed,,,,262145,,,4096,,,64,4096,,words
,,,,,,vision,,False,glm-5.2,observed_rejected_or_unsupported,,,,,,,,,,,observed_rejected_or_unsupported,,
,,,,,,tool calling,,True,glm-5.2,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,structured output,,True,glm-5.2,observed_functional,,,,,,,,,,,observed_functional,,
right_censored,False,False,True,undocumented_probe_anchor,65536,prompt context window,undocumented_probe_anchor_value,,kimi-k3,accepted_and_retrieval_valid_through_158411,,250000,158411,,,158411,,,,,158411,,
right_censored,False,False,True,undocumented_probe_anchor,65536,combined prompt + requested output,undocumented_probe_anchor_value,,kimi-k3,accepted_and_retrieval_valid_through_53740,53740,61696,49644,,53740,49644,,,,,53740,4096,tokens
,,,,,,output limit,,,kimi-k3,realized_generation_observed,,,,65537,,,4096,,,64,4096,,words
,,,,,,vision,,True,kimi-k3,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,tool calling,,,kimi-k3,observed_functional,,,,,,,,,,,observed_functional,,
,,,,,,structured output,,,kimi-k3,observed_functional,,,,,,,,,,,observed_functional,,
right_censored,False,False,True,advertised_official_documentation,,prompt context window,documented_or_inventory_unavailable,65536,minimax-m2.5,accepted_and_retrieval_valid_through_166688,,250000,166688,,,166688,,,,,166688,,
right_censored,False,False,True,advertised_official_documentation,,combined prompt + requested output,documented_or_inventory_unavailable,65536,minimax-m2.5,transport_accepted_but_retrieval_not_verified,60051,61696,55955,,,,,,,,60051,4096,tokens
,,,,,,output limit,,65536,minimax-m2.5,realized_generation_observed,,,,65537,,,4096,,,64,4096,,words
,,,,,,vision,,False,minimax-m2.5,observed_rejected_or_unsupported,,,,,,,,,,,observed_rejected_or_unsupported,,
,,,,,,tool calling,,,minimax-m2.5,observed_functional,,,,,,,,,,,observed_functional,,
