completed_subcell_count,coverage_dimension,endpoint_id,explicit_untested_subtest_count,has_explicit_scope_exclusions,inconclusive_subcell_count,observed_attempt_count,operational_failure_subcell_count,planned_cell_or_epoch_count,replicate_failure_subcell_count,skipped_subcell_count,status,superseded_subcell_count,unsupported_subcell_count
1,capability_smoke,deepseek-v4-flash-0731,0,False,0,1,0,1,0,0,completed,0,0
25,low_load_baseline,deepseek-v4-flash-0731,0,False,3,50,0,29,1,0,completed,0,0
78,input_context,deepseek-v4-flash-0731,0,False,3,86,0,86,0,5,completed,0,0
42,output_length,deepseek-v4-flash-0731,0,False,1,47,0,51,0,0,completed,1,3
22,parameter_validation,deepseek-v4-flash-0731,0,False,2,27,0,27,0,0,completed,0,3
48,parameter_interactions,deepseek-v4-flash-0731,0,False,0,56,0,57,0,0,completed,1,7
24,aimd_short_short,deepseek-v4-flash-0731,0,False,0,3016,0,24,0,0,completed,0,0
23,aimd_long_short,deepseek-v4-flash-0731,0,False,0,163,0,23,0,0,completed,0,0
21,aimd_short_long,deepseek-v4-flash-0731,0,False,0,98,0,21,0,0,completed,0,0
22,aimd_mixed,deepseek-v4-flash-0731,0,False,0,86,0,22,0,0,completed,0,0
11,post_overload_recovery,deepseek-v4-flash-0731,1,True,0,726,0,12,1,0,completed,0,0
15,quality_low_load,deepseek-v4-flash-0731,0,False,0,45,0,16,1,0,completed,0,0
31,quality_near_saturation,deepseek-v4-flash-0731,0,False,0,1853,0,32,1,0,completed,0,0
28,tool_calling,deepseek-v4-flash-0731,1,True,0,28,0,28,0,0,completed,0,0
10,structured_output,deepseek-v4-flash-0731,0,False,0,10,0,10,0,0,completed,0,0
0,vision,deepseek-v4-flash-0731,0,False,0,1,0,1,0,0,unsupported,0,1
1,capability_smoke,gemma-4-31B-it,0,False,0,1,0,1,0,0,completed,0,0
23,low_load_baseline,gemma-4-31B-it,0,False,3,42,0,37,3,0,completed,0,0
52,input_context,gemma-4-31B-it,0,False,26,87,0,104,0,8,completed,1,0
42,output_length,gemma-4-31B-it,0,False,4,46,0,58,0,0,completed,0,0
22,parameter_validation,gemma-4-31B-it,0,False,3,28,0,28,0,0,completed,0,3
58,parameter_interactions,gemma-4-31B-it,0,False,0,74,0,78,0,0,completed,10,6
18,aimd_short_short,gemma-4-31B-it,0,False,0,226,0,18,0,0,completed,0,0
24,aimd_long_short,gemma-4-31B-it,0,False,0,70,0,24,0,0,completed,0,0
20,aimd_short_long,gemma-4-31B-it,0,False,0,91,0,20,0,0,completed,0,0
22,aimd_mixed,gemma-4-31B-it,0,False,0,66,0,22,0,0,completed,0,0
8,post_overload_recovery,gemma-4-31B-it,1,True,0,39,0,8,0,0,completed,0,0
12,quality_low_load,gemma-4-31B-it,0,False,0,33,0,12,0,0,completed,0,0
28,quality_near_saturation,gemma-4-31B-it,0,False,0,212,0,28,0,0,completed,0,0
32,tool_calling,gemma-4-31B-it,1,True,4,36,0,45,0,0,completed,0,0
12,structured_output,gemma-4-31B-it,0,False,0,13,0,15,0,0,completed,1,0
1,vision,gemma-4-31B-it,0,False,0,1,0,1,0,0,completed,0,0
1,capability_smoke,glm-5.2,0,False,0,1,0,1,0,0,completed,0,0
22,low_load_baseline,glm-5.2,0,False,3,38,0,25,0,0,completed,0,0
66,input_context,glm-5.2,0,False,0,69,0,69,0,3,completed,0,0
37,output_length,glm-5.2,0,False,2,39,0,42,0,0,completed,0,0
22,parameter_validation,glm-5.2,0,False,21,46,0,46,0,0,completed,0,3
9,parameter_interactions,glm-5.2,0,False,0,133,0,173,0,0,completed,80,44
18,aimd_short_short,glm-5.2,0,False,0,226,0,18,0,0,completed,0,0
25,aimd_long_short,glm-5.2,0,False,0,97,0,25,0,0,completed,0,0
21,aimd_short_long,glm-5.2,0,False,0,86,0,21,0,0,completed,0,0
21,aimd_mixed,glm-5.2,0,False,0,38,0,21,0,0,completed,0,0
9,post_overload_recovery,glm-5.2,1,True,0,36,0,9,0,0,completed,0,0
12,quality_low_load,glm-5.2,0,False,0,33,0,12,0,0,completed,0,0
28,quality_near_saturation,glm-5.2,0,False,0,203,0,28,0,0,completed,0,0
52,tool_calling,glm-5.2,1,True,22,78,0,80,0,0,completed,4,0
5,structured_output,glm-5.2,0,False,4,30,0,37,0,0,completed,14,7
0,vision,glm-5.2,0,False,0,1,0,1,0,0,unsupported,0,1
1,capability_smoke,kimi-k3,0,False,0,1,0,1,0,0,completed,0,0
23,low_load_baseline,kimi-k3,0,False,3,42,0,27,1,0,completed,0,0
66,input_context,kimi-k3,0,False,0,66,0,66,0,0,completed,0,0
37,output_length,kimi-k3,0,False,2,39,0,42,0,0,completed,0,0
11,parameter_validation,kimi-k3,0,False,6,31,0,31,0,0,completed,0,14
1,parameter_interactions,kimi-k3,0,False,0,68,0,71,0,0,completed,15,52
21,aimd_short_short,kimi-k3,0,False,0,291,0,21,0,0,completed,0,0
23,aimd_long_short,kimi-k3,0,False,0,163,0,23,0,0,completed,0,0
20,aimd_short_long,kimi-k3,0,False,0,91,0,20,0,0,completed,0,0
21,aimd_mixed,kimi-k3,0,False,0,106,0,21,0,0,completed,0,0
7,post_overload_recovery,kimi-k3,1,True,0,120,0,8,1,0,completed,0,0
13,quality_low_load,kimi-k3,0,False,0,37,0,14,1,0,completed,0,0
29,quality_near_saturation,kimi-k3,0,False,0,309,0,30,1,0,completed,0,0
28,tool_calling,kimi-k3,1,True,0,28,0,28,0,0,completed,0,0
3,structured_output,kimi-k3,0,False,0,10,0,10,0,0,completed,0,7
21,vision,kimi-k3,0,False,0,24,0,25,0,0,completed,2,1
1,capability_smoke,minimax-m2.5,0,False,0,1,0,1,0,0,completed,0,0
28,low_load_baseline,minimax-m2.5,0,False,3,68,0,33,2,0,completed,0,0
